id,id_swiped,action
4599928,217814829,left
4599928,100653627,right
4599928,138159385,left
4599928,20089672,left
4599928,111141867,left
4599928,94982346,left
4599928,27253754,right
4599928,144746300,left
4599928,64003479,left
4599928,63114267,left
4599928,182241949,left
4599928,74224168,left
4599928,143644705,left
4599928,138968909,left
4599928,277542564,left
4599928,45348708,right
4599928,381603139,left
4599928,95741448,left
4599928,190876868,left
4599928,117654917,left
4599928,154356014,right
4599928,135820541,left
4599928,466392905,left
4599928,8970151,right
4599928,22285577,left
4599928,39801085,left
4599928,228894487,left
4599928,22159334,left
4599928,49634674,left
4599928,367244648,left
4599928,30312256,left
4599928,183097641,left
4599928,347218636,right
4599928,408935611,right
4599928,138675028,right
4599928,70399461,left
4599928,309516029,left
4599928,231493933,left
4599928,31151835,right
4599928,24430858,right
4599928,78407577,right
4599928,176131169,left
4599928,160466912,left
4599928,601513767,right
4599928,440833563,left
4599928,67622289,left
4599928,54139966,right
4599928,168495921,left
4599928,139892111,left
4599928,13719970,left
4599928,180102549,left
4599928,63409106,left
4599928,514223995,left
4599928,47521249,left
4599928,219790578,right
4599928,150260613,left
4599928,151961500,left
4599928,25934525,left
4599928,34642097,left
4599928,26292231,left
4599928,49733981,left
4599928,140787532,left
4599928,326525024,left
4599928,17570098,right
4599928,61577342,left
4599928,320914426,left
4599928,164239801,right
4599928,162477943,left
4599928,50932448,left
4599928,152140107,left
4599928,138836737,right
4599928,177040979,left
4599928,168423391,left
4599928,58497511,left
4599928,112596123,right
4599928,115732530,left
4599928,19094112,left
4599928,185505060,left
4599928,11818722,left
4599928,12817550,left
4599928,23347159,left
4599928,73098187,right
4599928,135888714,left
4599928,401685114,right
4599928,175858237,left
4599928,11692496,left
4599928,121117228,left
4599928,267091330,left
4599928,35043400,left
4599928,524538244,right
4599928,92876091,left
4599928,219785091,left
4599928,123429977,left
4599928,33398304,left
4599928,20211999,left
4599928,5186545,left
4599928,112950997,right
4599928,84795924,left
4599928,142868547,left
4599928,21905302,left
4599928,156626668,left
4599928,157924900,right
4599928,69619917,left
4599928,48300401,left
4599928,15571921,left
4599928,4599928,right
4599928,4599928,right
4599928,64337900,left
4599928,12156002,left
4599928,76251391,left
4599928,184816608,left
4599928,65667902,left
4599928,172996265,right
4599928,85315383,left
4599928,35279339,right
4599928,13371561,left
4599928,174189072,right
4599928,31303652,left
4599928,11324845,right
4599928,4599928,left
4599928,97457717,right
4599928,299792241,right
4599928,88464369,left
4599928,228057893,right
4599928,210658360,left
4599928,180234210,right
4599928,222991970,left
4599928,203059368,right
4599928,269837561,left
4599928,148396546,left
4599928,323366907,right
4599928,140324922,left
4599928,193654123,left
4599928,4599928,right
4599928,139171960,right
4599928,192487658,left
4599928,316200483,left
4599928,4599928,right
4599928,70506126,left
4599928,64057266,right
4599928,135763388,right
4599928,226312463,right
