id,id_swiped,action
4599928,78805949,left
4599928,35783372,right
4599928,96387250,right
4599928,151641689,left
4599928,268417040,right
4599928,221424517,left
4599928,67469424,right
4599928,201748316,left
4599928,155139045,right
4599928,315782137,right
4599928,500741183,left
4599928,63918632,right
4599928,68267391,right
4599928,182149142,left
4599928,381178946,right
4599928,108562816,right
4599928,65913918,right
4599928,32731463,right
4599928,247076468,left
4599928,224545344,right
4599928,135892323,right
4599928,67904684,right
4599928,453008630,right
4599928,72590001,right
4599928,53791248,right
4599928,9348223,right
4599928,4599928,right
4599928,4599928,right
4599928,80569843,left
4599928,244623917,right
4599928,4599928,right
4599928,56727315,right
4599928,205790631,left
4599928,4599928,left
4599928,62853892,left
4599928,128534575,left
4599928,157170894,right
4599928,4599928,right
4599928,115820420,left
4599928,33968161,right
4599928,229378353,right
4599928,112469151,right
4599928,32122344,right
4599928,292554200,left
4599928,344808600,left
4599928,119552234,left
4599928,139846913,left
4599928,128038723,right
4599928,232813553,left
4599928,195068593,left
4599928,253782861,left
4599928,439418524,left
4599928,445046994,left
4599928,135299200,left
4599928,75723644,right
4599928,33772268,left
4599928,172076585,left
4599928,132514843,left
4599928,214888548,left
4599928,4599928,right
4599928,98713701,left
4599928,43527500,left
4599928,102654221,left
4599928,219714370,left
4599928,144875139,left
4599928,56140734,right
