id,id_swiped,action
4599928,242865838.0,left
4599928,50216884.0,right
4599928,147635705.0,left
4599928,48162974.0,left
4599928,446238392.0,right
4599928,120062243.0,right
4599928,20216799.0,left
4599928,20216799.0,left
4599928,4599928.0,left
4599928,96876950.0,right
4599928,403420714.0,left
4599928,95005220.0,right
4599928,111668413.0,left
4599928,74828985.0,left
4599928,52122565.0,left
4599928,39272561.0,right
4599928,70299148.0,left
4599928,19048029.0,left
4599928,146843377.0,left
4599928,426937669.0,left
4599928,4599928.0,left
4599928,155462461.0,left
4599928,222850154.0,right
4599928,146831524.0,right
4599928,93239528.0,left
4599928,91935469.0,right
4599928,135138924.0,left
4599928,20555845.0,left
4599928,188462695.0,right
4599928,105882683.0,left
4599928,119971047.0,left
4599928,18774990.0,left
4599928,293759223.0,left
4599928,4599928.0,right
4599928,151181518.0,right
4599928,21703302.0,left
4599928,217814829.0,left
4599928,100653627.0,right
4599928,138159385.0,left
4599928,20089672.0,left
4599928,111141867.0,left
4599928,94982346.0,left
4599928,27253754.0,right
4599928,144746300.0,left
4599928,64003479.0,left
4599928,63114267.0,left
4599928,182241949.0,left
4599928,74224168.0,left
4599928,143644705.0,left
4599928,138968909.0,left
4599928,277542564.0,left
4599928,45348708.0,right
4599928,381603139.0,left
4599928,95741448.0,left
4599928,190876868.0,left
4599928,117654917.0,left
4599928,154356014.0,right
4599928,135820541.0,left
4599928,466392905.0,left
4599928,8970151.0,right
4599928,22285577.0,left
4599928,39801085.0,left
4599928,228894487.0,left
4599928,22159334.0,left
4599928,49634674.0,left
4599928,367244648.0,left
4599928,30312256.0,left
4599928,183097641.0,left
4599928,347218636.0,right
4599928,408935611.0,right
4599928,138675028.0,right
4599928,70399461.0,left
4599928,309516029.0,left
4599928,231493933.0,left
4599928,31151835.0,right
4599928,24430858.0,right
4599928,78407577.0,right
4599928,176131169.0,left
4599928,160466912.0,left
4599928,601513767.0,right
4599928,440833563.0,left
4599928,67622289.0,left
4599928,54139966.0,right
4599928,168495921.0,left
4599928,139892111.0,left
4599928,13719970.0,left
4599928,180102549.0,left
4599928,63409106.0,left
4599928,514223995.0,left
4599928,47521249.0,left
4599928,219790578.0,right
4599928,150260613.0,left
4599928,151961500.0,left
4599928,25934525.0,left
4599928,34642097.0,left
4599928,26292231.0,left
4599928,49733981.0,left
4599928,140787532.0,left
4599928,326525024.0,left
4599928,17570098.0,right
4599928,61577342.0,left
4599928,320914426.0,left
4599928,164239801.0,right
4599928,162477943.0,left
4599928,50932448.0,left
4599928,152140107.0,left
4599928,138836737.0,right
4599928,177040979.0,left
4599928,168423391.0,left
4599928,58497511.0,left
4599928,112596123.0,right
4599928,115732530.0,left
4599928,19094112.0,left
4599928,185505060.0,left
4599928,11818722.0,left
4599928,12817550.0,left
4599928,23347159.0,left
4599928,73098187.0,right
4599928,135888714.0,left
4599928,401685114.0,right
4599928,175858237.0,left
4599928,11692496.0,left
4599928,121117228.0,left
4599928,267091330.0,left
4599928,35043400.0,left
4599928,524538244.0,right
4599928,92876091.0,left
4599928,219785091.0,left
4599928,123429977.0,left
4599928,33398304.0,left
4599928,20211999.0,left
4599928,5186545.0,left
4599928,112950997.0,right
4599928,84795924.0,left
4599928,142868547.0,left
